"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 18 04:36:27 UTC 2023","Tue Jul 18 04:36:30 UTC 2023","3273","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Tue Jul 18 04:20:05 UTC 2023","Tue Jul 18 04:20:14 UTC 2023","9050","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Tue Jul 18 04:35:08 UTC 2023","Tue Jul 18 04:35:14 UTC 2023","5165","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Tue Jul 18 04:24:45 UTC 2023","Tue Jul 18 04:25:08 UTC 2023","23388","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Jul 18 04:41:08 UTC 2023","Tue Jul 18 04:41:10 UTC 2023","2256","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Jul 18 04:33:42 UTC 2023","Tue Jul 18 04:33:45 UTC 2023","3583","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Jul 18 04:14:40 UTC 2023","Tue Jul 18 04:14:44 UTC 2023","4342","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Tue Jul 18 05:26:54 UTC 2023","Tue Jul 18 05:26:57 UTC 2023","3771","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Tue Jul 18 05:49:43 UTC 2023","Tue Jul 18 05:50:44 UTC 2023","60998","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Tue Jul 18 05:18:47 UTC 2023","Tue Jul 18 05:19:31 UTC 2023","43749","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
